"address_id";"address";"city";"postal_code";"latitude";"longitude"
180;"313 BD ARISTIDE BRIAND";"SAVIGNY-SUR-ORGE";"91600";48.6861;2.34964
181;"10 RUE DE LA HETRAIE";"LE HAVRE";"76620";49.5185;0.126101
182;"57 RUE EDOUARD BRANLY";"VALENCE";"26000";44.9192;4.89885
183;"9 RUE DES SEUX";"POUILLOUX";"71230";46.6153;4.33582
184;"13 AV DU BARON ROUILLARD DE BEAU";"LE COUDRAY";"28630";0.0;0.0
185;"280 RTE DE KERBERS";"PLOUZANE";"29280";48.3992;-4.60707
186;"16 AV DES FRERES LUMIERE";"BRY-SUR-MARNE";"94360";48.8376;2.53387
187;"39 RUE MAL DE LATTRE DE TASSIGNY";"LE HAVRE";"76600";0.0;0.0
188;"4 RUE JOHN FITZGERALD KENNEDY";"SAINT MAX";"54130";48.6985;6.20656
189;"12 RUE DES FLEURS";"LAGNY-SUR-MARNE";"77400";48.8657;2.71829
190;"9 RUE AMEDEE GORDINI";"LIMOGES";"87280";45.8941;1.28089
191;"292 BD FOSSE DEUX";"ROUVROY";"62320";50.4033;2.91377
192;"5344 CHE DE LA RAPAUDIERE";"POLLIONNAY";"69290";45.7576;4.69307
194;"5 IMP DES FRICHOTS";"EPIEDS";"27730";0.0;0.0
195;"7 RUE DES QUETEURS";"TOULOUSE";"31000";43.6099;1.43801
196;"91 RUE PIERRE BROSSOLETTE";"RUEIL-MALMAISON";"92500";48.8842;2.18691
197;"70 RUE ANATOLE FRANCE";"GRENOBLE";"38100";45.1725;5.70698
198;"2 ALL DES COQUELICOTS";"VIEILLEVIGNE";"44116";46.9686;-1.44389
200;"17 RUE DE MALTE";"PARIS 11";"75011";48.8642;2.36866
201;"72 AV DU 11 NOVEMBRE 1918";"BANDOL";"83150";43.139;5.75052
202;"93 CHE ARIOLIA";"BRISCOUS";"64240";43.4609;-1.32764
203;"40 RUE SAINT HONORE";"AMIENS";"80000";49.8878;2.2882
204;"19 RUE HENRI VASSEUR";"ARGENTEUIL";"95100";48.9498;2.2636
205;"2 RUE ANNE PAVAGEAU";"AVORD";"18520";0.0;0.0
206;"14 QUAI DU DOLAIZON";"VALS-PRES-LE-PUY";"43750";45.0293;3.87592
207;"66 RES LE LAMPARO";"LEUCATE";"11370";0.0;0.0
208;"16 RUE MONTOIR POISSONNERIE";"CAEN";"14000";49.1845;-0.360803
209;"1072 RTE DE SAINT JEAN";"ANTIBES";"6600";43.5833;7.10832
210;"33 RUE DU COMMANDANT ROLLAND";"HERIMONCOURT";"25310";47.4467;6.88055
211;"4 TRA DE LA GIRONNE";"MARSEILLE 8EME";"13008";0.0;0.0
212;"22 CHE DE LA PETITE COTE";"MENAUCOURT";"55500";48.6514;5.3537
213;"45 AV DE LA TABLE DE PIERRE";"FRANCHEVILLE";"69340";45.7472;4.751
214;"39 RTE NATIONALE 2 TAKAMAKA";"SAINT PHILIPPE";"97442";0.0;0.0
215;"80 RUE CURIAL";"PARIS 19";"75019";48.8947;2.3743
216;"1671 RTE DE FLASSAN";"VILLES-SUR-AUZON";"84570";44.0707;5.23285
217;"4 PAS MENDES FRANCE";"BEAUCOURT";"90500";47.4853;6.92493
